timestamp,exchange_long,exchange_short,symbol,gross_spread_pct,price_long,price_short,funding_long,funding_short,funding_diff_pct,effective_spread_pct
2026-06-08T05:42:02.531778+00:00Z,bybit,mexc,ASRUSDT,1.9029,0.9617,0.98,5e-05,5e-05,0.0,1.9029
2026-06-08T05:42:02.531778+00:00Z,gate,mexc,ASRUSDT,1.7653,0.963,0.98,5e-05,5e-05,0.0,1.7653
2026-06-08T05:42:04.548547+00:00Z,bybit,mexc,ASRUSDT,1.8711,0.962,0.98,5e-05,5e-05,0.0,1.8711
2026-06-08T05:42:04.548547+00:00Z,gate,mexc,ASRUSDT,1.7653,0.963,0.98,5e-05,5e-05,0.0,1.7653
2026-06-08T05:42:06.559400+00:00Z,bybit,mexc,ASRUSDT,1.7653,0.963,0.98,5e-05,5e-05,0.0,1.7653
2026-06-08T05:42:06.559400+00:00Z,gate,mexc,ASRUSDT,1.7653,0.963,0.98,5e-05,5e-05,0.0,1.7653
2026-06-08T05:42:08.575871+00:00Z,bybit,mexc,ASRUSDT,2.952,0.9519,0.98,5e-05,5e-05,0.0,2.952
2026-06-08T05:42:08.575871+00:00Z,gate,mexc,ASRUSDT,2.7254,0.954,0.98,5e-05,5e-05,0.0,2.7254
2026-06-08T05:42:10.579494+00:00Z,bybit,mexc,ASRUSDT,2.952,0.9519,0.98,5e-05,5e-05,0.0,2.952
2026-06-08T05:42:10.579494+00:00Z,gate,mexc,ASRUSDT,2.6178,0.955,0.98,5e-05,5e-05,0.0,2.6178
2026-06-08T05:42:12.582187+00:00Z,gate,mexc,ASRUSDT,2.6178,0.955,0.98,5e-05,5e-05,0.0,2.6178
2026-06-08T05:42:12.582187+00:00Z,bybit,mexc,ASRUSDT,2.5641,0.9555,0.98,5e-05,5e-05,0.0,2.5641
2026-06-08T05:42:12.582187+00:00Z,mexc,gate,VELVETUSDT,0.8086,0.26342,0.26555,5e-05,5e-05,0.0,0.8086
2026-06-08T05:42:14.590699+00:00Z,bybit,mexc,ASRUSDT,2.6178,0.955,0.98,5e-05,5e-05,0.0,2.6178
2026-06-08T05:42:14.590699+00:00Z,gate,mexc,ASRUSDT,2.4033,0.957,0.98,5e-05,5e-05,0.0,2.4033
2026-06-08T05:42:14.590699+00:00Z,mexc,gate,VELVETUSDT,0.6226,0.26342,0.26506,5e-05,5e-05,0.0,0.6226
2026-06-08T05:42:16.610909+00:00Z,bybit,mexc,ASRUSDT,2.6178,0.955,0.98,5e-05,5e-05,0.0,2.6178
2026-06-08T05:42:16.610909+00:00Z,gate,mexc,ASRUSDT,2.4033,0.957,0.98,5e-05,5e-05,0.0,2.4033
2026-06-08T05:42:16.610909+00:00Z,mexc,gate,VELVETUSDT,0.5694,0.26342,0.26492,5e-05,5e-05,0.0,0.5694
2026-06-08T05:42:18.632660+00:00Z,gate,mexc,ASRUSDT,1.9771,0.961,0.98,5e-05,5e-05,0.0,1.9771
2026-06-08T05:42:18.632660+00:00Z,bybit,mexc,ASRUSDT,1.9241,0.9615,0.98,5e-05,5e-05,0.0,1.9241
2026-06-08T05:42:18.632660+00:00Z,mexc,gate,VELVETUSDT,0.615,0.26342,0.26504,5e-05,5e-05,0.0,0.615
2026-06-08T05:42:20.668166+00:00Z,gate,mexc,ASRUSDT,1.8711,0.962,0.98,5e-05,5e-05,0.0,1.8711
2026-06-08T05:42:20.668166+00:00Z,bybit,mexc,ASRUSDT,1.5544,0.965,0.98,5e-05,5e-05,0.0,1.5544
2026-06-08T05:42:20.668166+00:00Z,mexc,gate,VELVETUSDT,0.5694,0.26342,0.26492,5e-05,5e-05,0.0,0.5694
2026-06-08T05:42:22.709789+00:00Z,bybit,mexc,ASRUSDT,2.79,0.9534,0.98,5e-05,5e-05,0.0,2.79
2026-06-08T05:42:22.709789+00:00Z,gate,mexc,ASRUSDT,2.6178,0.955,0.98,5e-05,5e-05,0.0,2.6178
2026-06-08T05:42:24.716778+00:00Z,gate,mexc,ASRUSDT,2.6178,0.955,0.98,5e-05,5e-05,0.0,2.6178
2026-06-08T05:42:24.716778+00:00Z,bybit,mexc,ASRUSDT,1.8288,0.9624,0.98,5e-05,5e-05,0.0,1.8288
2026-06-08T05:42:26.758197+00:00Z,bybit,mexc,ASRUSDT,2.6285,0.9549,0.98,5e-05,5e-05,0.0,2.6285
2026-06-08T05:42:26.758197+00:00Z,gate,mexc,ASRUSDT,2.4033,0.957,0.98,5e-05,5e-05,0.0,2.4033
2026-06-08T05:42:28.797646+00:00Z,gate,mexc,ASRUSDT,2.4033,0.957,0.98,5e-05,5e-05,0.0,2.4033
2026-06-08T05:42:28.797646+00:00Z,bybit,mexc,ASRUSDT,2.3926,0.9571,0.98,5e-05,5e-05,0.0,2.3926
2026-06-08T05:42:30.817006+00:00Z,bybit,mexc,ASRUSDT,2.6393,0.9548,0.98,5e-05,5e-05,0.0,2.6393
2026-06-08T05:42:30.817006+00:00Z,gate,mexc,ASRUSDT,2.4033,0.957,0.98,5e-05,5e-05,0.0,2.4033
2026-06-08T05:42:32.832703+00:00Z,bybit,mexc,ASRUSDT,2.3499,0.9575,0.98,5e-05,5e-05,0.0,2.3499
2026-06-08T05:42:32.832703+00:00Z,gate,mexc,ASRUSDT,2.0833,0.96,0.98,5e-05,5e-05,0.0,2.0833
2026-06-08T05:42:34.851530+00:00Z,bybit,mexc,ASRUSDT,2.8116,0.9532,0.98,5e-05,5e-05,0.0,2.8116
2026-06-08T05:42:34.851530+00:00Z,gate,mexc,ASRUSDT,2.5105,0.956,0.98,5e-05,5e-05,0.0,2.5105
2026-06-08T05:42:36.866717+00:00Z,bybit,mexc,ASRUSDT,2.8116,0.9532,0.98,5e-05,5e-05,0.0,2.8116
2026-06-08T05:42:36.866717+00:00Z,gate,mexc,ASRUSDT,2.6178,0.955,0.98,5e-05,5e-05,0.0,2.6178
2026-06-08T05:42:38.884230+00:00Z,bybit,mexc,ASRUSDT,2.7469,0.9538,0.98,5e-05,5e-05,0.0,2.7469
2026-06-08T05:42:38.884230+00:00Z,gate,mexc,ASRUSDT,2.5105,0.956,0.98,5e-05,5e-05,0.0,2.5105
2026-06-08T05:42:40.900708+00:00Z,bybit,mexc,ASRUSDT,2.7469,0.9538,0.98,5e-05,5e-05,0.0,2.7469
2026-06-08T05:42:40.900708+00:00Z,gate,mexc,ASRUSDT,2.5105,0.956,0.98,5e-05,5e-05,0.0,2.5105
2026-06-08T05:42:42.919763+00:00Z,bybit,mexc,ASRUSDT,2.8979,0.9524,0.98,5e-05,5e-05,0.0,2.8979
2026-06-08T05:42:42.919763+00:00Z,gate,mexc,ASRUSDT,2.7254,0.954,0.98,5e-05,5e-05,0.0,2.7254
2026-06-08T05:42:44.956205+00:00Z,bybit,mexc,ASRUSDT,2.9196,0.9522,0.98,5e-05,5e-05,0.0,2.9196
2026-06-08T05:42:44.956205+00:00Z,gate,mexc,ASRUSDT,2.7254,0.954,0.98,5e-05,5e-05,0.0,2.7254
2026-06-08T05:42:46.991553+00:00Z,bybit,mexc,ASRUSDT,2.8979,0.9524,0.98,5e-05,5e-05,0.0,2.8979
2026-06-08T05:42:46.991553+00:00Z,gate,mexc,ASRUSDT,2.7254,0.954,0.98,5e-05,5e-05,0.0,2.7254
2026-06-08T05:42:49.008255+00:00Z,bybit,mexc,ASRUSDT,2.7685,0.9536,0.98,5e-05,5e-05,0.0,2.7685
2026-06-08T05:42:49.008255+00:00Z,gate,mexc,ASRUSDT,2.5105,0.956,0.98,5e-05,5e-05,0.0,2.5105
2026-06-08T05:42:51.162545+00:00Z,bybit,mexc,ASRUSDT,2.5748,0.9554,0.98,5e-05,5e-05,0.0,2.5748
2026-06-08T05:42:51.162545+00:00Z,gate,mexc,ASRUSDT,2.5105,0.956,0.98,5e-05,5e-05,0.0,2.5105
2026-06-08T05:42:53.179151+00:00Z,bybit,mexc,ASRUSDT,2.4569,0.9565,0.98,5e-05,5e-05,0.0,2.4569
2026-06-08T05:42:53.179151+00:00Z,gate,mexc,ASRUSDT,2.4033,0.957,0.98,5e-05,5e-05,0.0,2.4033
2026-06-08T05:42:55.209715+00:00Z,bybit,mexc,ASRUSDT,2.2004,0.9589,0.98,5e-05,5e-05,0.0,2.2004
2026-06-08T05:42:55.209715+00:00Z,gate,mexc,ASRUSDT,2.0833,0.96,0.98,5e-05,5e-05,0.0,2.0833
2026-06-08T05:42:57.217664+00:00Z,bybit,mexc,ASRUSDT,2.2111,0.9588,0.98,5e-05,5e-05,0.0,2.2111
2026-06-08T05:42:57.217664+00:00Z,gate,mexc,ASRUSDT,1.9771,0.961,0.98,5e-05,5e-05,0.0,1.9771
2026-06-08T05:42:59.234226+00:00Z,bybit,mexc,ASRUSDT,2.2111,0.9588,0.98,5e-05,5e-05,0.0,2.2111
2026-06-08T05:42:59.234226+00:00Z,gate,mexc,ASRUSDT,1.9771,0.961,0.98,5e-05,5e-05,0.0,1.9771
2026-06-08T05:43:01.252380+00:00Z,gate,mexc,ASRUSDT,1.8711,0.962,0.98,5e-05,5e-05,0.0,1.8711
2026-06-08T05:43:01.252380+00:00Z,bybit,mexc,ASRUSDT,1.2397,0.968,0.98,5e-05,5e-05,0.0,1.2397
2026-06-08T05:43:03.269848+00:00Z,gate,mexc,ASRUSDT,1.7653,0.963,0.98,5e-05,5e-05,0.0,1.7653
2026-06-08T05:43:03.269848+00:00Z,bybit,mexc,ASRUSDT,1.292,0.9675,0.98,5e-05,5e-05,0.0,1.292
2026-06-08T05:43:05.286082+00:00Z,gate,mexc,ASRUSDT,1.7653,0.963,0.98,5e-05,5e-05,0.0,1.7653
2026-06-08T05:43:05.286082+00:00Z,bybit,mexc,ASRUSDT,1.6808,0.9638,0.98,5e-05,5e-05,0.0,1.6808
2026-06-08T05:43:07.302594+00:00Z,gate,mexc,ASRUSDT,1.7653,0.963,0.98,5e-05,5e-05,0.0,1.7653
2026-06-08T05:43:07.302594+00:00Z,bybit,mexc,ASRUSDT,1.6808,0.9638,0.98,5e-05,5e-05,0.0,1.6808
2026-06-08T05:52:00.187111+00:00Z,gate,bybit,ASTSUSDT,0.5039,91.9,92.36,0.003367,0.0,-0.003367,0.5073
2026-06-08T05:55:58.852254+00:00Z,gate,mexc,ASRUSDT,0.5193,0.963,0.968,0.000109,5e-05,-5.9e-05,0.5193
2026-06-08T05:56:00.867427+00:00Z,gate,mexc,ASRUSDT,0.5193,0.963,0.968,0.000109,5e-05,-5.9e-05,0.5193
2026-06-08T06:00:13.305906+00:00Z,gate,mexc,CLOUSDT,0.9148,0.16945,0.171,0.0001,5e-05,-5e-05,0.9148
2026-06-08T06:00:13.305906+00:00Z,bybit,mexc,CLOUSDT,0.79,0.16966,0.171,0.000217,5e-05,-0.000167,0.7901
2026-06-08T06:00:15.321361+00:00Z,gate,mexc,CLOUSDT,0.8077,0.16963,0.171,0.0001,5e-05,-5e-05,0.8077
2026-06-08T06:00:15.321361+00:00Z,bybit,mexc,CLOUSDT,0.7247,0.16977,0.171,0.000217,5e-05,-0.000167,0.7248
2026-06-08T06:00:17.337216+00:00Z,gate,mexc,CLOUSDT,1.7192,0.16811,0.171,0.0001,5e-05,-5e-05,1.7192
2026-06-08T06:00:17.337216+00:00Z,bybit,mexc,CLOUSDT,1.6044,0.1683,0.171,0.000217,5e-05,-0.000167,1.6046
2026-06-08T06:00:41.391411+00:00Z,gate,bybit,ASTSUSDT,0.5248,92.03,92.51,0.003183,0.0,-0.003183,0.5279
2026-06-08T06:00:43.405896+00:00Z,gate,bybit,ASTSUSDT,0.5354,92.06,92.55,0.003183,0.0,-0.003183,0.5386
2026-06-08T06:00:45.422981+00:00Z,gate,bybit,ASTSUSDT,0.5029,92.06,92.52,0.003183,0.0,-0.003183,0.506
